microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size
M300554	105	45.801911787003085	3.9377596210428765	Caecum right	Positive	MSEB0006	G121eI101B	B11	74953.32504	27445.67052	4976
M300555	3	2.6544410201155753	1.663073420092969	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B11	72020.27964	33695.1438	4976
M300556	3	2.9212473073986653	1.8200789245261015	Caecum right	Positive	MSEB0006	G121eI101B	B11	75415.38696	27819.35016	4976
M300557	81	43.169578864090994	3.736918491140708	Caecum right	Positive	MSEB0006	G121eI101B	B11	76113.47694	28351.84868	4976
M300559	105	46.23527450492779	3.950650126729715	Caecum right	Positive	MSEB0006	G121eI101B	B11	76849.22832	29025.0501	4976
M300560	99	44.43730473218946	4.0933627473162595	Caecum right	Positive	MSEB0006	G121eI101B	B11	75971.70494	29352.8578	4976
M300561	103	44.311493181224066	4.120349150455267	Caecum right	Positive	MSEB0006	G121eI101B	B11	76680.93738	29558.1605	4976
M300562	103	46.882732416513804	4.048583932936854	Caecum right	Positive	MSEB0006	G121eI101B	B11	74883.31786	29170.1824	5140
M300563	109	47.05996038650476	4.017112315477799	Caecum right	Positive	MSEB0006	G121eI101B	B11	75220.99184	29120.50912	5140
M300564	12	10.477468110044862	2.9739975664831473	Caecum right	Positive	MSEB0006	G121eI101B	B11	75894.6174	29134.85928	5140
M300566	93	43.05984737417271	3.7864156002087186	Caecum right	Positive	MSEB0006	G121eI101B	B11	76922.54096	29224.44992	5140
M300567	99	44.02911622817021	4.039768670249804	Caecum right	Positive	MSEB0006	G121eI101B	B11	77492.20334	29097.77932	5140
M300569	100	46.80577653692967	4.129634724601649	Caecum right	Positive	MSEB0006	G121eI101B	B11	77495.46474	28977.7598	5140
M300570	100	44.46220367059351	3.9787519238769513	Caecum right	Positive	MSEB0006	G121eI101B	B11	74950.84104	28473.11156	4815
M300571	94	42.482781085289	3.9033769956057567	Caecum right	Positive	MSEB0006	G121eI101B	B11	75619.94598	28632.39788	4815
M300572	56	32.680576669053714	3.7643385433192407	Caecum right	Positive	MSEB0006	G121eI101B	B11	76345.93288	29031.8104	4815
M300574	97	43.91497785810285	3.9919904880370667	Caecum right	Positive	MSEB0006	G121eI101B	B11	76920.99698	29347.99236	4815
M300576	92	43.15889771909605	3.979982483321156	Caecum right	Positive	MSEB0006	G121eI101B	B11	77104.53212	29588.78606	4815
