microsample	quality
M300554	5
M300555	1
M300556	2
M300557	4
M300558	0
M300559	5
M300560	5
M300561	5
M300562	5
M300563	5
M300564	3
M300565	0
M300566	5
M300567	5
M300568	1
M300569	5
M300570	5
M300571	5
M300572	4
M300573	0
M300574	5
M300575	1
M300576	5
M300577	5
M300578	5
M300579	0
M300580	5
M300581	4
M300582	4
M300583	5
M300584	5
M300585	0
M300586	0
M300587	0
M300588	4
M300589	5
M300590	5
M300591	0
M300592	5
M300593	5
M300594	5
M300595	5
M300596	5
M300597	5
M300598	5
M300599	5
M300600	0
M300601	1
M300602	3
M300603	2
M300604	1
M300605	0
M300606	1
M300607	0
M300608	2
M300609	2
M300610	3
M300611	0
M300612	2
M300613	0
M300614	0
M300615	1
M300616	0
M300617	2
M300618	1
M300619	2
M300620	1
M300621	1
M300622	2
M300623	2
M300624	0
M300625	1
M300626	0
M300627	0
M300628	3
M300629	3
M300630	4
M300631	2
M300632	0
M300633	3
M300634	3
M300635	0
M300636	2
M300637	1
M300638	3
M300639	4
M300640	4
M300641	0
M300642	2
M300643	0
M300644	4
M300645	4
M300646	0
M300647	4
M300648	4
M300649	0
M300704	3
M300705	2
M300706	2
M300707	2
M300708	3
M300709	1
M300710	1
M300711	3
M300712	4
M300713	1
M300714	3
M300715	3
M300716	2
M300717	3
M300718	4
M300719	1
M300720	1
M300721	3
M300722	2
M300723	NA
M300724	3
M300725	2
M300726	1
M300727	3
M300728	1
M300729	2
M300730	2
M300731	2
M300732	2
M300733	2
M300734	1
M300735	2
M300736	3
M300737	2
M300738	2
M300739	2
M300740	2
M300741	3
M300742	3
M300743	2
M300744	2
M300745	2
M300746	1
M300747	2
M300748	2
M300749	1
M300750	2
M300751	2
M300752	0
M300753	3
M300754	1
M300755	2
M300756	5
M300757	4
M300758	5
M300759	4
M300760	3
M300761	5
M300762	0
M300763	5
M300764	5
M300765	1
M300766	5
M300767	5
M300768	3
M300769	1
M300770	1
M300771	2
M300772	5
M300773	5
M300774	5
M300775	5
M300776	2
M300777	2
M300778	2
M300779	1
M300780	3
M300781	1
M300782	2
M300783	2
M300784	2
M300785	1
M300786	2
M300787	3
M300788	2
M300789	1
M300790	1
M300791	2
M300792	3
M300793	1
M300794	3
M300795	1
M300796	0
M300797	3
M300798	4
M300799	1
